"","FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","EPP","FEZ","Mkt.RF","SMB","HML","RF"
"2007-03-01",-0.839827848531913,-1.19513189565184,-2.50181631309494,-1.1630880335374,-0.751040944904849,-0.0069703203275031,-3.35997332843642,0.295434670303654,-4.08060539459363,-2.70451983120813,-4.25216288482145,-3.69678648317195,-0.25,-0.11,0.15,0.019
"2007-03-02",0.171981346574658,-4.11704919163206,-8.07839945305374,-3.79786190617584,-3.2999406555253,0.138967857572918,-2.36489072500784,-1.13116348871698,-6.16843377702082,-5.19270064617439,-2.74325439465958,-3.32451068779926,-1.24,-0.64,0.26,0.019
"2007-03-05",-1.90902187857254,-3.66229162623196,-3.08522604120589,-1.95748648257917,-2.39879174418988,-0.0463032293383512,-0.47743656162579,-6.86688659397552,-2.23487222378166,-5.76979634049423,-7.75357349611506,-4.52413410182519,-1.11,-0.69,-0.31,0.019
"2007-03-06",0.673292176033078,6.01680063916696,4.88543626251391,4.18490834696524,4.31158993266662,0.0231150672630369,-1.33941675508795,3.55502266222089,3.07993738496205,12.4164489378966,10.3390745691048,7.15517233499577,1.58,0.65,-0.02,0.019
"2007-03-07",1.11273812281188,-0.518450675753898,0.589247869392129,-0.999777996723932,-0.252520920757685,0.092517592635381,2.30841255815894,4.85771630990517,-0.978065002931498,-2.11423731492995,-0.8627101935048,-0.476527139212163,-0.21,-0.09,0.08,0.019
"2007-03-08",-0.802218554152889,2.25148063432891,0.705443201923305,1.7123286740787,2.13070283557206,0.0232254994392512,-0.190631662318888,0,1.03637293833897,5.04647139162484,3.03989741196158,2.57823555887519,0.68,-0.03,-0.06,0.019
"2007-03-09",-0.459943475320882,0.17168150658637,-0.898895057433529,-0.23461993885252,0.0717093270821648,-0.0232233590657871,-1.04919198598657,-5.79762249809086,0.380293819972289,3.11281520759647,1.61134858989729,0.803483575064807,0.09,0.28,0.16,0.019
"2007-03-12",1.67014822439972,2.05859004518927,0.470673245136175,1.64362888375268,0.375836393729113,0.0694370601791363,-1.72409115954266,-3.822002257259,2.06109465169866,2.272626091661,4.40789664763387,0.565335360656033,0.28,0.3,-0.22,0.019
"2007-03-13",-0.0571852769984443,-4.59425617979861,-2.54467137433563,-4.8988809036342,-4.89737870170813,0.161855051313564,-2.3145762657357,-2.09361644661447,-4.78820788574858,-8.65609138662081,-7.28494135514704,-6.62793173558747,-2.03,-0.21,-0.26,0.019
"2007-03-14",0.572267399142473,-2.25307375967054,0.870048573916362,3.68749984511333,1.87742253198279,0.0231253346668072,0.876030191844572,1.02983633870096,1.09680499859859,3.12526672528413,1.96049271657209,0.772531916657332,0.57,0.1,-0.05,0.019
"2007-03-15",0.266422582251615,0.174853804304967,0.157651738468109,-0.586039572512425,0.343795290256459,-0.0231232127142969,-3.68592678628204,-2.4102628511684,0.600702599870929,1.76173691677665,2.75917827589816,1.20315687980891,0.44,0.49,0.16,0.019
"2007-03-16",1.57795057798547,-0.174732563616538,2.52079956236324,-0.194152251760068,-0.705620413021713,0.0462690707593945,3.15004229969072,-1.29443193809451,-1.47081745475919,-2.57202525186753,-0.431970210580455,1.26587610206639,-0.42,-0.09,-0.19,0.019
"2007-03-19",-0.283441500492255,2.79811679650477,0.467947053484364,2.58887401178024,3.03782790083344,0,0.680518806859142,1.45726278877258,1.5890651327711,5.36333559939595,4.13049552085937,3.95990429933494,1.08,-0.1,-0.09,0.019
"2007-03-20",0.45400778450844,2.24843390465894,2.06301748727272,1.80543966048418,1.38401467469059,0.0693606400968474,1.8422595025868,-1.24189750654161,1.90578219171577,2.97331742615315,1.74171932205694,2.16067097860875,0.67,0.03,0.11,0.019
"2007-03-21",1.28383965097535,2.74281188597125,2.12349873403545,4.85727072808096,4.14726330628497,0.161595513479622,1.3475720100165,1.76805681071087,5.29614764400949,8.43616330720856,6.20770012917404,5.5886542669347,1.64,-0.11,-0.12,0.019
"2007-03-22",-0.920387533079234,0.339225383733093,-0.229709753874176,-0.907700487353519,-0.193383225973626,-0.0692761104817505,0.28724615806282,7.1262347816532,0.2646324182222,-0.89123903396414,-0.881559604647654,-0.182305141874381,-0.02,0.23,-0.43,0.019
"2007-03-23",-0.810800110501539,0.338688588242669,-2.33759116978129,-0.797172419956624,0.369715865188689,0.0924224394583987,-0.669433949834834,1.95854670207979,1.11031354715411,0.56787623541489,-0.225920020696794,1.41342426074439,0.08,0.08,0.08,0.019
"2007-03-26",0.794485883517479,-1.35307043491382,2.66889459189886,1.02821271977021,-0.334039065949995,0.0231161747801093,-4.60275022534457,2.98990688644406,0,0,1.62022540788066,-0.31747846624855,0.06,-0.03,-0.17,0.019
"2007-03-27",0.452502491111431,-1.02021752520192,-0.535840676539543,-1.76343572963388,-0.598221961606131,0.0691846393003198,1.17212165517043,0.147755750968193,-0.0526124792290399,-2.16732487611049,-1.2728680134028,-0.680882312425195,-0.61,-0.19,-0.06,0.019
"2007-03-28",-0.847021272146583,-1.87807061116471,1.34248882842418,-2.69244240669674,-1.83452710406485,0.0691656504091471,1.45829142692516,3.93749625091558,-0.315940001185765,-3.41482048153972,-3.06674701186426,-2.32148856347696,-0.74,0.22,0.03,0.019
"2007-03-29",0.453244970695248,0.344044259540905,-1.5261203243246,0.289536465281761,0.266471976534702,0.0691860313831419,0.19333723172638,7.85076377884615,-0.105379048770851,6.59039703785304,2.36167699864121,3.491503094088,0.29,-0.2,0.11,0.019
